"","X1","ENTIDAD","NOM_ENT","MUN","MUNCA","NOM_MUN","LOC","NOM_LOC","AGEB","MZA","POBTOT","POBFEM","POBMAS","P_0A2","P_0A2_F","P_0A2_M","P_3YMAS","P_3YMAS_F","P_3YMAS_M","P_5YMAS","P_5YMAS_F","P_5YMAS_M","P_12YMAS","P_12YMAS_F","P_12YMAS_M","P_15YMAS","P_15YMAS_F","P_15YMAS_M","P_18YMAS","P_18YMAS_F","P_18YMAS_M","P_3A5","P_3A5_F","P_3A5_M","P_6A11","P_6A11_F","P_6A11_M","P_8A14","P_8A14_F","P_8A14_M","P_12A14","P_12A14_F","P_12A14_M","P_15A17","P_15A17_F","P_15A17_M","P_18A24","P_18A24_F","P_18A24_M","P_15A49_F","P_60YMAS","P_60YMAS_F","P_60YMAS_M","REL_H_M","POB0_14","POB15_64","POB65_MAS","PROM_HNV","PNACENT","PNACENT_F","PNACENT_M","PNACOE","PNACOE_F","PNACOE_M","PRES2015","PRES2015_F","PRES2015_M","PRESOE15","PRESOE15_F","PRESOE15_M","P3YM_HLI","P3YM_HLI_F","P3YM_HLI_M","P3HLINHE","P3HLINHE_F","P3HLINHE_M","P3HLI_HE","P3HLI_HE_F","P3HLI_HE_M","P5_HLI","P5_HLI_NHE","P5_HLI_HE","PHOG_IND","POB_AFRO","POB_AFRO_F","POB_AFRO_M","PCON_DISC","PCDISC_MOT","PCDISC_VIS","PCDISC_LENG","PCDISC_AUD","PCDISC_MOT2","PCDISC_MEN","PCON_LIMI","PCLIM_CSB","PCLIM_VIS","PCLIM_HACO","PCLIM_OAUD","PCLIM_MOT2","PCLIM_RE_CO","PCLIM_PMEN","PSIND_LIM","P3A5_NOA","P3A5_NOA_F","P3A5_NOA_M","P6A11_NOA","P6A11_NOAF","P6A11_NOAM","P12A14NOA","P12A14NOAF","P12A14NOAM","P15A17A","P15A17A_F","P15A17A_M","P18A24A","P18A24A_F","P18A24A_M","P8A14AN","P8A14AN_F","P8A14AN_M","P15YM_AN","P15YM_AN_F","P15YM_AN_M","P15YM_SE","P15YM_SE_F","P15YM_SE_M","P15PRI_IN","P15PRI_INF","P15PRI_INM","P15PRI_CO","P15PRI_COF","P15PRI_COM","P15SEC_IN","P15SEC_INF","P15SEC_INM","P15SEC_CO","P15SEC_COF","P15SEC_COM","P18YM_PB","P18YM_PB_F","P18YM_PB_M","GRAPROES","GRAPROES_F","GRAPROES_M","PEA","PEA_F","PEA_M","PE_INAC","PE_INAC_F","PE_INAC_M","POCUPADA","POCUPADA_F","POCUPADA_M","PDESOCUP","PDESOCUP_F","PDESOCUP_M","PSINDER","PDER_SS","PDER_IMSS","PDER_ISTE","PDER_ISTEE","PAFIL_PDOM","PDER_SEGP","PDER_IMSSB","PAFIL_IPRIV","PAFIL_OTRAI","P12YM_SOLT","P12YM_CASA","P12YM_SEPA","PCATOLICA","PRO_CRIEVA","POTRAS_REL","PSIN_RELIG","TOTHOG","HOGJEF_F","HOGJEF_M","POBHOG","PHOGJEF_F","PHOGJEF_M","VIVTOT","TVIVHAB","TVIVPAR","VIVPAR_HAB","VIVPARH_CV","TVIVPARHAB","VIVPAR_DES","VIVPAR_UT","OCUPVIVPAR","PROM_OCUP","PRO_OCUP_C","VPH_PISODT","VPH_PISOTI","VPH_1DOR","VPH_2YMASD","VPH_1CUART","VPH_2CUART","VPH_3YMASC","VPH_C_ELEC","VPH_S_ELEC","VPH_AGUADV","VPH_AEASP","VPH_AGUAFV","VPH_TINACO","VPH_CISTER","VPH_EXCSA","VPH_LETR","VPH_DRENAJ","VPH_NODREN","VPH_C_SERV","VPH_NDEAED","VPH_DSADMA","VPH_NDACMM","VPH_SNBIEN","VPH_REFRI","VPH_LAVAD","VPH_HMICRO","VPH_AUTOM","VPH_MOTO","VPH_BICI","VPH_RADIO","VPH_TV","VPH_PC","VPH_TELEF","VPH_CEL","VPH_INTER","VPH_STVP","VPH_SPMVPI","VPH_CVJ","VPH_SINRTV","VPH_SINLTC","VPH_SINCINT","VPH_SINTIC"
"35",35,11,"Guanajuato",35,"035","Santa Cruz de Juventino Rosas",0,"Total del municipio",0,0,82340,43178,39162,4333,2167,2166,77995,41004,36991,74889,39443,35446,63501,33749,29752,58877,31421,27456,54345,29156,25189,4678,2341,2337,9816,4914,4902,11232,5619,5613,4624,2328,2296,4532,2265,2267,10042,5173,4869,22859,8734,4602,4132,90.7,23451,52862,6015,2.19,80588,42294,38294,1481,754,727,74448,39287,35161,226,111,115,51,"22","29","*","*","*",49,"21","28",50,"*",48,105,"860","469","391",3059,1676,1166,472,607,619,518,7005,2633,4402,457,1583,346,1113,785,71815,1795,894,901,576,277,299,642,296,346,2811,1461,1350,2570,1314,1256,285,126,159,4692,2602,2090,5945,3112,2833,6078,3172,2906,10891,5819,5072,1516,676,840,18854,10440,8414,13566,7117,6449,7.92,7.94,7.89,36296,13687,22609,26989,19988,7001,35700,13547,22153,596,140,456,17808,64494,17574,3387,"215",104,41797,457,431,"943",21666,36127,5705,78315,2423,"12",1540,19426,7661,11765,82296,31499,50797,23941,19432,23904,19395,19346,19426,3638,871,82296,4.24,1.13,18224,1121,4713,14631,377,2645,16322,19210,134,18877,12872,467,12411,5563,18637,254,18463,881,18071,"25",18333,10206,120,18047,15054,8620,7831,2891,13129,12249,18324,4145,3715,16550,6965,6101,929,708,647,2123,11555,304
"36",36,11,"Guanajuato",36,"036","Santiago Maravatío",0,"Total del municipio",0,0,6714,3495,3219,321,158,163,6393,3337,3056,6207,3255,2952,5496,2927,2569,5205,2771,2434,4884,2603,2281,284,121,163,613,289,324,686,351,335,291,156,135,321,168,153,685,361,324,1674,1341,696,645,92.1,1509,4188,1017,2.56,6138,3214,2924,456,224,232,5987,3180,2807,106,48,58,3,"0","3","0","0","0",3,"0","3",3,"0",3,3,"38","15","23",643,337,262,65,168,89,123,1201,440,803,77,324,59,306,76,4844,77,32,45,22,12,10,23,8,15,203,113,90,196,108,88,11,4,7,530,278,252,594,277,317,827,429,398,852,425,427,156,86,70,1409,813,596,1223,666,557,7.54,7.73,7.31,2850,1054,1796,2624,1870,754,2738,1046,1692,112,8,104,929,5783,297,515,"0",8,4955,20,7,"0",1623,3183,690,6276,154,"0",279,2002,614,1388,6711,1801,4910,3383,2003,3381,2001,1999,2002,1046,334,6711,3.35,0.89,1980,19,678,1321,54,283,1661,1995,4,1990,1636,9,1632,240,1957,8,1969,30,1964,"*",1950,879,11,1868,1690,1058,911,507,1141,1316,1917,475,921,1493,824,283,99,107,38,197,1085,25
"37",37,11,"Guanajuato",37,"037","Silao de la Victoria",0,"Total del municipio",0,0,203556,103483,100073,11887,5963,5924,191600,97483,94117,183437,93441,89996,155929,79839,76090,143976,73937,70039,132270,68041,64229,12051,5964,6087,23620,11680,11940,27853,13710,14143,11953,5902,6051,11706,5896,5810,25843,12833,13010,55766,18264,9728,8536,96.7,59511,131586,12390,2.31,189903,97136,92767,12299,5730,6569,179087,91659,87428,3414,1519,1895,247,"104","143","3","3","0",227,"91","136",247,"3",227,492,"2929","1431","1498",9484,4575,3767,1658,1689,2127,1576,19068,5814,12057,1494,3403,1071,3054,2092,173559,5066,2527,2539,933,436,497,1192,607,585,7316,3752,3564,5834,2974,2860,696,289,407,7942,4772,3170,9283,5117,4166,12680,6544,6136,22539,11501,11038,4135,1813,2322,48700,25999,22701,41001,20032,20969,8.68,8.59,8.77,93113,35093,58020,62056,44501,17555,91255,34702,56553,1858,391,1467,29155,173892,87648,8024,"564",276,73341,1037,3344,"1359",52642,89052,13841,185710,9175,"148",7981,46602,14542,32060,203021,61266,141755,57175,46625,56109,45559,46562,46602,8364,2186,203021,4.36,1.17,45090,1443,11259,35275,1593,7292,37648,46311,223,44142,24999,2394,33717,23033,45127,496,45501,1024,43315,"40",45008,19929,347,42259,36517,18980,21102,11292,21382,32963,43956,12559,9270,40201,16913,17916,4357,3260,1458,5153,26940,747
"38",38,11,"Guanajuato",38,"038","Tarandacuao",0,"Total del municipio",0,0,11304,5810,5494,522,248,274,10778,5559,5219,10392,5376,5016,9045,4723,4322,8464,4439,4025,7858,4155,3703,573,274,299,1160,562,598,1359,647,712,581,284,297,606,284,322,1170,611,559,2828,1953,1037,916,94.56,2836,6997,1467,2.52,9800,5010,4790,1362,736,626,10062,5223,4839,233,127,106,5,"*","3","0","0","0",5,"*","3",5,"0",5,13,"50","23","27",860,431,403,130,193,158,152,1651,557,1061,117,390,67,337,155,8725,204,99,105,64,25,39,66,32,34,369,192,177,297,153,144,26,8,18,589,319,270,569,299,270,1210,614,596,1481,719,762,249,103,146,2635,1431,1204,2057,1144,913,8.05,8.19,7.89,4809,1747,3062,4185,2964,1221,4753,1736,3017,56,11,45,1942,9356,616,549,"146",8,7834,36,201,"22",2924,5157,963,10890,229,"8",170,3189,1127,2062,11298,3765,7533,5199,3190,5145,3136,3189,3189,1357,652,11298,3.54,0.93,3157,29,918,2268,62,436,2688,3168,18,3152,1821,34,2808,1379,3100,26,3126,60,3096,"*",3097,1349,18,3022,2386,1534,1613,690,1538,2482,3038,624,881,2687,1122,970,86,119,80,298,1942,39
"39",39,11,"Guanajuato",39,"039","Tarimoro",0,"Total del municipio",0,0,35905,18505,17400,1626,810,816,34278,17695,16583,33140,17135,16005,28825,14979,13846,27103,14136,12967,25443,13322,12121,1754,884,870,3699,1832,1867,4206,2075,2131,1722,843,879,1660,814,846,3916,1973,1943,9189,5905,3039,2866,94.03,8801,22787,4316,2.53,33879,17464,16415,1581,818,763,32444,16849,15595,345,169,176,18,"8","10","0","0","0",18,"8","10",18,"0",18,57,"116","52","64",1778,1077,560,253,372,349,299,3742,1449,2169,228,910,215,793,415,30177,640,321,319,141,66,75,172,73,99,1080,575,505,937,492,445,96,39,57,2420,1226,1194,3196,1501,1695,3725,1938,1787,4526,2371,2155,716,311,405,7884,4341,3543,6249,3234,3015,7.57,7.68,7.45,16362,5834,10528,12285,9076,3209,15965,5756,10209,397,78,319,4384,31501,4819,1189,"109",42,25306,144,64,"48",9076,16655,3089,34085,687,"9",1095,10193,3330,6863,35846,10633,25213,15897,10198,15887,10188,10188,10193,4291,1408,35846,3.52,0.99,9834,351,3479,6708,281,1933,7973,10133,54,10080,7650,107,8013,1383,9831,120,9819,366,9740,"14",9699,4564,98,9431,8118,5547,4557,2650,5967,7394,9660,2238,3665,7877,3292,1412,389,413,309,1245,6261,169
"40",40,11,"Guanajuato",40,"040","Tierra Blanca",0,"Total del municipio",0,0,20007,10347,9660,1257,608,649,18747,9737,9010,17907,9310,8597,15090,7934,7156,13796,7256,6540,12514,6645,5869,1228,604,624,2429,1199,1230,2912,1465,1447,1294,678,616,1282,611,671,2803,1426,1377,5459,1890,1055,835,93.36,6208,12430,1366,2.64,18101,9382,8719,1800,910,890,17372,9070,8302,413,220,193,1513,"767","746","*","*","*",1507,"764","743",1512,"*",1506,1517,"56","27","29",976,490,416,163,278,172,219,1917,734,1161,129,401,93,344,247,17031,450,221,229,53,29,24,88,38,50,789,410,379,540,316,224,68,26,42,1459,973,486,1559,987,572,1385,628,757,1971,896,1075,341,166,175,4539,2421,2118,3477,1885,1592,7.97,7.95,7.99,8364,3120,5244,6698,4804,1894,8221,3100,5121,143,20,123,4137,15862,1716,705,"29",8,13348,79,70,"35",5415,8407,1268,19156,409,"*",428,4904,1534,3370,20007,5474,14533,6623,4904,6619,4900,4895,4904,1034,685,20007,4.08,1.25,4683,212,1817,3078,373,1124,3398,4797,98,4636,1989,259,3818,442,2952,1097,3307,1588,3241,"50",2872,2854,235,3585,1728,987,1932,301,720,2470,4113,771,625,3473,1324,1364,64,74,547,1206,3334,337
"41",41,11,"Guanajuato",41,"041","Uriangato",0,"Total del municipio",0,0,61494,31862,29632,2721,1412,1309,58773,30450,28323,57077,29603,27474,50688,26524,24164,47751,25071,22680,44660,23508,21152,2570,1287,1283,5515,2639,2876,6697,3261,3436,2937,1453,1484,3091,1563,1528,7235,3660,3575,16839,8604,4632,3972,93,13743,41704,6047,2.08,56105,29148,26957,4933,2489,2444,56306,29290,27016,550,260,290,98,"46","52","*","*","0",97,"45","52",95,"0",95,267,"334","167","167",2921,1449,1224,361,611,522,449,6618,2185,4288,403,1546,383,1325,698,51573,940,460,480,318,151,167,370,180,190,2114,1154,960,2373,1212,1161,188,87,101,2741,1649,1092,3192,1820,1372,6661,3625,3036,10968,6040,4928,1467,607,860,11789,6119,5670,12138,6022,6116,8.01,7.86,8.19,33124,14641,18483,17370,11804,5566,32669,14519,18150,455,122,333,12971,48488,8360,2133,"132",27,36874,448,497,"329",16177,28813,5694,55244,3028,"42",3129,17350,6415,10935,61447,21759,39688,22919,17360,22457,16898,17339,17350,4493,1066,61447,3.54,0.97,17124,215,5018,12321,436,2914,13989,17289,50,17164,15161,175,16145,9121,17148,114,17211,128,17065,"14",17118,5131,51,16532,14568,8670,7217,9739,6716,13061,16535,5037,6149,14616,7148,7505,1712,1209,414,1495,9218,174
"42",42,11,"Guanajuato",42,"042","Valle de Santiago",0,"Total del municipio",0,0,150054,77750,72304,7652,3718,3934,142338,73999,68339,137412,71590,65822,119432,62595,56837,111522,58622,52900,103620,54671,48949,7329,3573,3756,15577,7831,7746,18525,9245,9280,7910,3973,3937,7902,3951,3951,17762,9007,8755,39916,20185,10734,9451,93,38468,97161,14361,2.31,144047,74796,69251,4943,2404,2539,133962,70714,63248,1053,530,523,107,"49","58","10","8","*",93,"39","54",105,"9",92,187,"1712","866","846",7586,4254,2892,1243,1779,1786,1543,14345,5409,8597,1143,3362,960,2908,1754,127192,3206,1535,1671,863,428,435,1097,532,565,4674,2424,2250,3822,1913,1909,454,191,263,7832,4454,3378,8543,4462,4081,14361,7564,6797,20559,10434,10125,2741,1265,1476,35286,19621,15665,26763,13514,13249,7.99,7.97,8.01,67924,24053,43871,51082,38420,12662,66556,23797,42759,1368,256,1112,32044,117911,27769,6227,"524",273,81285,1384,663,"284",37140,70418,11864,132721,8275,"60",8841,37795,12582,25213,148627,46627,102000,49543,37805,49452,37714,37776,37795,8885,2853,148627,3.93,1.09,36088,1670,10949,26810,1210,6270,30279,37627,132,37153,18488,606,30366,2407,36097,504,36343,1408,35850,"26",35943,17260,258,34609,30874,17216,17335,7931,15756,25795,35683,8866,12020,29997,13453,10083,2316,1939,1230,4723,22328,607
"43",43,11,"Guanajuato",43,"043","Victoria",0,"Total del municipio",0,0,21253,11318,9935,1286,638,648,19966,10679,9287,19098,10222,8876,16042,8705,7337,14765,8041,6724,13404,7350,6054,1303,653,650,2621,1321,1300,3016,1543,1473,1277,664,613,1361,691,670,2639,1411,1228,5651,2620,1435,1185,87.78,6487,12823,1942,2.68,19410,10339,9071,1690,905,785,18645,10053,8592,263,137,126,46,"19","27","0","0","0",43,"19","24",45,"0",42,142,"108","65","43",1174,598,519,197,324,238,227,2153,813,1363,171,570,148,410,308,17782,278,141,137,50,24,26,81,35,46,949,530,419,718,405,313,45,14,31,1245,789,456,1580,921,659,1151,537,614,2491,1177,1314,296,106,190,4918,2849,2069,3693,2098,1595,8.23,8.36,8.07,9048,3633,5415,6920,5039,1881,8945,3616,5329,103,17,86,3352,17895,1168,1368,"202",4,14491,556,223,"43",5974,8684,1382,20361,248,"18",618,5471,1975,3496,21248,6719,14529,7422,5473,7379,5430,5459,5471,1501,448,21248,3.88,1.12,5099,359,1892,3566,208,1040,4210,5329,129,4824,2731,634,4478,1140,4415,314,4556,902,4221,"66",4298,2836,259,4352,2581,1485,2481,538,1896,2207,4510,1034,740,3630,1866,2044,131,113,750,1620,3285,495
"44",44,11,"Guanajuato",44,"044","Villagrán",0,"Total del municipio",0,0,65791,33804,31987,3462,1659,1803,62310,32134,30176,59875,30936,28939,51293,26636,24657,47652,24890,22762,44088,23118,20970,3667,1822,1845,7350,3676,3674,8544,4204,4340,3641,1746,1895,3564,1772,1792,8156,4073,4083,18280,6475,3458,3017,94.62,18120,43312,4340,2.22,60391,31092,29299,4994,2485,2509,58421,30285,28136,1255,600,655,164,"72","92","0","0","0",150,"63","87",162,"0",148,438,"1848","941","907",3177,1521,1379,456,619,553,544,6762,2172,4237,403,1359,339,1257,679,55515,1340,651,689,301,136,165,263,128,135,2564,1295,1269,2363,1166,1197,250,101,149,2413,1524,889,2848,1669,1179,3408,2098,1310,5781,3447,2334,1192,589,603,17460,8976,8484,15278,7265,8013,8.94,8.65,9.26,29425,11167,18258,21785,15439,6346,28716,11041,17675,709,126,583,11017,54725,34254,2432,"223",1122,16356,109,466,"249",15979,30005,5296,58369,3589,"34",3752,16398,5403,10995,65767,20743,45024,22120,16401,21920,16201,16381,16398,5273,446,65767,4.01,1.11,15730,643,4102,12271,412,2866,13095,16324,49,16125,10801,247,12448,6727,16098,177,16178,190,15969,"9",16057,8020,72,15321,13553,8782,7210,2608,12025,11514,15647,4970,4832,14359,6656,5479,1492,1230,374,1296,8581,144
"45",45,11,"Guanajuato",45,"045","Xichú",0,"Total del municipio",0,0,11143,5873,5270,669,323,346,10474,5550,4924,10028,5321,4707,8385,4510,3875,7672,4140,3532,6947,3780,3167,670,323,347,1419,717,702,1671,846,825,713,370,343,725,360,365,1233,685,548,2809,1661,861,800,89.73,3471,6415,1257,3.21,10220,5380,4840,823,439,384,9693,5192,4501,213,114,99,6,"3","3","0","0","0",6,"3","3",6,"0",6,13,"3","*","*",644,332,230,120,170,133,140,1392,546,803,97,353,75,229,100,9071,149,74,75,56,38,18,93,44,49,426,223,203,191,119,72,35,15,20,1121,682,439,1544,844,700,776,350,426,1369,649,720,178,81,97,2203,1227,976,1325,839,486,6.72,6.98,6.41,3664,1158,2506,4701,3345,1356,3648,1155,2493,16,3,13,531,10611,97,299,"*",0,10203,3,14,"*",2876,4805,702,10729,101,"0",307,3011,1140,1871,11136,3673,7463,4304,3013,4301,3010,3005,3011,929,362,11136,3.7,1.05,2820,185,1130,1875,117,552,2336,2910,95,2486,582,519,2791,660,2630,123,2666,339,2255,"30",2581,1714,221,2244,1601,608,1175,355,76,1009,2165,388,403,1842,1482,1173,68,50,622,1045,1454,372
"46",46,11,"Guanajuato",46,"046","Yuriria",0,"Total del municipio",0,0,68741,35883,32858,3601,1765,1836,65135,34115,31020,62782,32946,29836,54759,28986,25773,51264,27310,23954,47798,25601,22197,3448,1679,1769,6928,3450,3478,8213,4060,4153,3495,1676,1819,3466,1709,1757,7457,3898,3559,17862,11210,5912,5298,91.57,17472,42889,8375,2.56,64382,33597,30785,3555,1874,1681,61268,32387,28881,643,340,303,41,"14","27","0","0","0",41,"14","27",41,"0",41,123,"536","271","265",4628,2482,1931,647,1140,948,799,9176,3376,5736,558,2169,557,1963,1141,54451,1248,589,659,314,143,171,483,215,268,2112,1100,1012,1663,860,803,225,90,135,5011,2727,2284,5360,2682,2678,8395,4288,4107,10286,5369,4917,1535,650,885,13316,7783,5533,10879,5713,5166,7.42,7.52,7.32,31945,12032,19913,22579,16864,5715,31342,11877,19465,603,155,448,13187,55506,4050,3943,"179",57,47273,85,144,"63",16305,32260,6186,62772,2836,"31",3058,19175,6418,12757,68724,20923,47801,30247,19179,30218,19150,19166,19175,6581,4487,68724,3.58,0.99,18567,595,6280,12882,661,3368,15134,19077,86,18881,13193,282,16190,2900,18054,345,18149,1014,17971,"20",17936,9508,181,17700,14911,8639,7721,4429,4780,12933,17933,4063,6428,14466,6516,3369,944,840,754,2819,11674,404
